COUNTRY,YEAR,BRITCOL ,GDP,OIL,OPEN,POP,REG,REGION
1,1962,0,1278,1,72.5,10301,1,2
1,1963,0,1509,1,48.45,11460,1,2
1,1964,0,1575,1,43.57,11690,1,2
1,1965,0,1570,1,38.89,11923,1,2
1,1966,0,1536,1,41,12267,1,2
1,1967,0,1591,1,37.55,12622,1,2
1,1968,0,1751,1,38.54,12986,1,2
1,1969,0,1831,1,39.96,13360,1,2
1,1970,0,1824,1,51.15,13746,1,2
1,1971,0,1673,1,45.82,14169,1,2
1,1972,0,2008,1,45.77,14609,1,2
1,1973,0,2011,1,56.87,15064,1,2
1,1974,0,2254,1,73.75,15534,1,2
1,1975,0,2341,1,76.52,16018,1,2
1,1976,0,2455,1,69.87,16516,1,2
1,1977,0,2518,1,72.09,17030,1,2
1,1978,0,2590,1,65.48,17559,1,2
1,1979,0,2806,1,63.94,18105,1,2
1,1980,0,2758,1,64.7,18669,1,2
1,1981,0,2762,1,65.42,19254,1,2
1,1982,0,2823,1,59.96,19862,1,2
1,1983,0,2903,1,53.75,20495,1,2
1,1984,0,2962,1,49.03,21173,1,2
1,1985,0,2988,1,43.89,21848,1,2
1,1986,0,2970,1,30.19,22497,1,2
1,1987,0,2913,1,27.41,23124,1,2
1,1988,0,2769,1,31.87,23758,1,2
1,1989,0,2842,1,40.82,24374,1,2
1,1990,0,2777,1,45.72,25003,1,2
2,1975,0,733,1,76.27,6687,1,4
2,1976,0,648,1,68.75,6852,1,4
2,1977,0,646,1,66.31,7026,1,4
2,1978,0,663,1,71.81,7208,1,4
2,1979,0,660,1,76.88,7393,1,4
2,1980,0,675,1,81.21,7581,1,4
2,1981,0,650,1,84,7783,1,4
2,1982,0,679,1,74.4,7990,1,4
2,1983,0,673,1,75,8202,1,4
2,1984,0,691,1,74.51,8400,1,4
2,1985,0,711,1,69.1,8605,1,4
2,1986,0,709,1,65.9,8841,1,4
2,1987,0,717,1,59.2,9084,1,4
2,1988,0,733,1,56.25,9334,1,4
2,1989,0,701,1,54.35,9590,1,4
3,1960,0,1092,0,24,2050,1,4
3,1961,0,1108,0,18.55,2100,1,4
3,1962,0,1072,0,17.44,2156,1,4
3,1963,0,1120,0,19.74,2213,1,4
3,1964,0,1117,0,22.1,2271,1,4
3,1965,0,1175,0,28.43,2332,1,4
3,1966,0,1163,0,29.01,2393,1,4
3,1967,0,1136,0,34.77,2457,1,4
3,1968,0,1098,0,36.73,2522,1,4
3,1969,0,1053,0,43.16,2589,1,4
3,1970,0,1105,0,50.42,2657,1,4
3,1971,0,1085,0,58.12,2727,1,4
3,1972,0,1124,0,51.98,2800,1,4
3,1973,0,1142,0,52.85,2875,1,4
3,1974,0,1117,0,55,2951,1,4
3,1975,0,1060,0,59.85,3029,1,4
3,1976,0,1015,0,54.85,3107,1,4
3,1977,0,1040,0,63.83,3189,1,4
3,1978,0,1033,0,64.07,3275,1,4
3,1979,0,1082,0,68.38,3367,1,4
3,1980,0,1152,0,66.25,3464,1,4
3,1981,0,1219,0,74.11,3568,1,4
3,1982,0,1091,0,72.3,3678,1,4
3,1983,0,1034,0,56.61,3794,1,4
3,1984,0,1046,0,64.32,3916,1,4
3,1985,0,1108,0,74.61,4043,1,4
3,1986,0,1063,0,66.88,4175,1,4
3,1987,0,994,0,65.52,4311,1,4
3,1988,0,1002,0,69.54,4451,1,4
3,1989,0,921,0,50.87,4594,1,4
3,1990,0,924,0,-9,4740,1,4
4,1966,1,579,0,71.16,563,1,4
4,1967,1,688,0,62.37,579,1,4
4,1968,1,767,0,78.78,594,1,4
4,1969,1,798,0,88.83,609,1,4
4,1970,1,815,0,85.98,624,1,4
4,1971,1,866,0,85.26,647,1,4
4,1972,1,1001,0,101.83,673,1,4
4,1973,1,1181,0,95.22,700,1,4
4,1974,1,1349,0,105.26,727,1,4
4,1975,1,1326,0,113.33,755,1,4
4,1976,1,1449,0,117.82,783,1,4
4,1977,1,1413,0,115.68,811,1,4
4,1978,1,1619,0,116.65,840,1,4
4,1979,1,1729,0,122.61,870,1,4
4,1980,1,1929,0,113.32,902,1,4
4,1981,1,1963,0,121.96,934,1,4
4,1982,1,1972,0,124.64,967,1,4
4,1983,1,1877,0,130.33,1002,1,4
4,1984,1,1953,0,119.22,1038,1,4
4,1985,1,2337,0,118.53,1075,1,4
4,1986,1,2662,0,121.68,1114,1,4
4,1987,1,2207,0,133.41,1153,1,4
4,1988,1,2404,0,131.98,1194,1,4
4,1989,1,2172,0,114.13,1235,1,4
5,1960,0,457,0,8.19,4340,1,4
5,1961,0,415,0,12.66,4483,1,4
5,1962,0,431,0,15.01,4630,1,4
5,1963,0,405,0,15.35,4783,1,4
5,1964,0,405,0,14.83,4940,1,4
5,1965,0,373,0,17.56,5103,1,4
5,1966,0,366,0,18.36,5207,1,4
5,1967,0,397,0,18.89,5313,1,4
5,1968,0,409,0,23.5,5419,1,4
5,1969,0,409,0,24.1,5526,1,4
5,1970,0,373,0,22.99,5633,1,4
5,1971,0,373,0,26.93,5741,1,4
5,1972,0,377,0,29.38,5848,1,4
5,1973,0,376,0,30.94,5959,1,4
5,1974,0,393,0,35.03,6076,1,4
5,1975,0,416,0,39.59,6202,1,4
5,1976,0,435,0,37.38,6341,1,4
5,1977,0,448,0,40.6,6487,1,4
5,1978,0,445,0,37.29,6639,1,4
5,1979,0,463,0,39.75,6798,1,4
5,1980,0,457,0,42.61,6962,1,4
5,1981,0,466,0,43.18,7132,1,4
5,1982,0,511,0,42.08,7308,1,4
5,1983,0,500,0,39.62,7491,1,4
5,1984,0,474,0,43.59,7682,1,4
5,1985,0,495,0,45.46,7881,1,4
5,1986,0,511,0,38.58,8089,1,4
5,1987,0,511,0,37.02,8307,1,4
5,1988,0,522,0,35.53,8534,1,4
5,1989,0,519,0,37.19,8770,1,4
5,1990,0,511,0,37.72,9016,1,4
6,1962,0,506,0,25.84,3007,1,4
6,1963,0,506,0,18.9,3048,1,4
6,1964,0,450,0,22.97,3089,1,4
6,1965,0,389,0,19.98,3131,1,4
6,1966,0,402,0,21.22,3174,1,4
6,1967,0,418,0,20.37,3217,1,4
6,1968,0,416,0,20.87,3261,1,4
6,1969,0,413,0,17.33,3305,1,4
6,1970,0,342,0,22.31,3350,1,4
6,1971,0,450,0,22.61,3537,1,4
6,1972,0,431,0,26.81,3561,1,4
6,1973,0,447,0,24.35,3591,1,4
6,1974,0,435,0,25.29,3630,1,4
6,1975,0,447,0,27.28,3680,1,4
6,1976,0,453,0,30.38,3744,1,4
6,1977,0,508,0,34.68,3825,1,4
6,1978,0,489,0,31.93,3920,1,4
6,1979,0,489,0,38.92,4023,1,4
6,1980,0,482,0,32.4,4130,1,4
6,1981,0,506,0,31.32,4243,1,4
6,1982,0,505,0,37.43,4362,1,4
6,1983,0,487,0,34.13,4486,1,4
6,1984,0,483,0,35.29,4616,1,4
6,1985,0,527,0,31.04,4750,1,4
6,1986,0,551,0,35.3,4889,1,4
6,1987,0,537,0,35.34,5033,1,4
6,1988,0,559,0,38.53,5181,1,4
6,1989,0,532,0,31.71,5334,1,4
6,1990,0,550,0,33.7,5492,1,4
7,1961,0,654,1,49.16,5427,1,4
7,1962,0,693,1,49.17,5524,1,4
7,1963,0,673,1,39.58,5623,1,4
7,1964,0,660,1,40.51,5723,1,4
7,1965,0,675,1,42.38,5825,1,4
7,1966,0,676,1,38.26,5955,1,4
7,1967,0,740,1,35.88,6088,1,4
7,1968,0,785,1,39.52,6225,1,4
7,1969,0,807,1,38.43,6364,1,4
7,1970,0,804,1,50.88,6506,1,4
7,1971,0,811,1,50.18,6664,1,4
7,1972,0,815,1,46.48,6836,1,4
7,1973,0,830,1,44.69,7022,1,4
7,1974,0,901,1,48.24,7223,1,4
7,1975,0,859,1,48.23,7439,1,4
7,1976,0,888,1,50.01,7671,1,4
7,1977,0,895,1,52.87,7921,1,4
7,1978,0,972,1,51.78,8183,1,4
7,1979,0,1074,1,49.32,8445,1,4
7,1980,0,1195,1,51.32,8701,1,4
7,1981,0,1294,1,54.44,8954,1,4
7,1982,0,1282,1,52.27,9205,1,4
7,1983,0,1342,1,52.87,9457,1,4
7,1984,0,1403,1,54.38,9710,1,4
7,1985,0,1487,1,57.67,9969,1,4
7,1986,0,1499,1,46.6,10244,1,4
7,1987,0,1439,1,38.03,10536,1,4
7,1988,0,1332,1,35.83,10846,1,4
7,1989,0,1362,1,37.49,11175,1,4
7,1990,0,1229,1,40.34,11524,1,4
8,1975,0,486,0,50.2,278,1,4
8,1976,0,548,0,65.68,279,1,4
8,1977,0,609,0,72.36,281,1,4
8,1978,0,673,0,86.72,283,1,4
8,1979,0,714,0,97.89,285,1,4
8,1980,0,939,0,84.04,289,1,4
